Date,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Time,SessionTime,Distance
2024-11-03 17:43:43.249,10858.0,308.0,8,100.0,False,1,car,0 days 00:00:00.021000,0 days 03:05:40.503000,1.7966666666666669
2024-11-03 17:43:43.409,10870.0,309.0,8,100.0,False,1,car,0 days 00:00:00.181000,0 days 03:05:40.663000,15.53
2024-11-03 17:43:43.609,10869.0,308.0,8,100.0,False,1,car,0 days 00:00:00.381000,0 days 03:05:40.863000,32.64111111111111
2024-11-03 17:43:43.969,10870.0,308.0,8,100.0,False,1,car,0 days 00:00:00.741000,0 days 03:05:41.223000,63.44111111111111
2024-11-03 17:43:44.288,10870.0,310.0,8,100.0,False,1,car,0 days 00:00:01.060000,0 days 03:05:41.542000,90.91055555555556
2024-11-03 17:43:44.688,10917.0,311.0,8,100.0,False,1,car,0 days 00:00:01.460000,0 days 03:05:41.942000,125.4661111111111
2024-11-03 17:43:44.968,10925.0,310.0,8,99.0,False,1,car,0 days 00:00:01.740000,0 days 03:05:42.222000,149.57722222222222
2024-11-03 17:43:45.248,10911.0,311.0,8,99.0,False,1,car,0 days 00:00:02.020000,0 days 03:05:42.502000,173.76611111111112
2024-11-03 17:43:45.408,10770.0,311.0,8,99.0,True,1,car,0 days 00:00:02.180000,0 days 03:05:42.662000,187.58833333333334
2024-11-03 17:43:45.568,10236.0,294.0,8,12.0,True,1,car,0 days 00:00:02.340000,0 days 03:05:42.822000,200.65499999999997
2024-11-03 17:43:45.888,10092.0,260.0,8,3.0,True,1,car,0 days 00:00:02.660000,0 days 03:05:43.142000,223.76611111111112
2024-11-03 17:43:46.089,10372.0,238.0,8,3.0,True,1,car,0 days 00:00:02.861000,0 days 03:05:43.343000,237.05444444444444
2024-11-03 17:43:46.249,10397.0,219.0,7,3.0,True,1,car,0 days 00:00:03.021000,0 days 03:05:43.503000,246.78777777777776
2024-11-03 17:43:46.449,10309.0,203.0,6,2.0,True,1,car,0 days 00:00:03.221000,0 days 03:05:43.703000,258.06555555555553
2024-11-03 17:43:46.809,11367.0,179.0,4,1.0,True,1,car,0 days 00:00:03.581000,0 days 03:05:44.063000,275.9655555555555
2024-11-03 17:43:47.089,11455.0,163.0,3,0.0,True,1,car,0 days 00:00:03.861000,0 days 03:05:44.343000,288.6433333333333
2024-11-03 17:43:47.249,10653.0,157.0,3,0.0,True,1,car,0 days 00:00:04.021000,0 days 03:05:44.503000,295.6211111111111
2024-11-03 17:43:47.529,9517.0,136.0,3,0.0,True,1,car,0 days 00:00:04.301000,0 days 03:05:44.783000,306.19888888888886
2024-11-03 17:43:47.849,8694.0,127.0,3,0.0,True,1,car,0 days 00:00:04.621000,0 days 03:05:45.103000,317.48777777777775
2024-11-03 17:43:48.129,7940.0,113.0,3,0.0,True,1,car,0 days 00:00:04.901000,0 days 03:05:45.383000,326.27666666666664
2024-11-03 17:43:48.369,7510.0,106.0,3,0.0,True,1,car,0 days 00:00:05.141000,0 days 03:05:45.623000,333.3433333333333
2024-11-03 17:43:48.529,7134.0,102.0,3,0.0,True,1,car,0 days 00:00:05.301000,0 days 03:05:45.783000,337.87666666666667
2024-11-03 17:43:48.689,7039.0,102.0,3,0.0,True,1,car,0 days 00:00:05.461000,0 days 03:05:45.943000,342.41
2024-11-03 17:43:49.009,6813.0,93.0,3,0.0,True,1,car,0 days 00:00:05.781000,0 days 03:05:46.263000,350.6766666666667
2024-11-03 17:43:49.249,6414.0,89.0,3,0.0,False,1,car,0 days 00:00:06.021000,0 days 03:05:46.503000,356.61
2024-11-03 17:43:49.409,6402.0,89.0,3,13.0,False,1,car,0 days 00:00:06.181000,0 days 03:05:46.663000,360.5655555555556
2024-11-03 17:43:49.849,6763.0,90.0,3,22.0,False,1,car,0 days 00:00:06.621000,0 days 03:05:47.103000,371.5655555555556
2024-11-03 17:43:50.009,6917.0,91.0,3,25.0,False,1,car,0 days 00:00:06.781000,0 days 03:05:47.263000,375.61
2024-11-03 17:43:50.489,7186.0,95.0,3,37.0,False,1,car,0 days 00:00:07.261000,0 days 03:05:47.743000,388.2766666666667
2024-11-03 17:43:50.649,7486.0,97.0,3,40.0,False,1,car,0 days 00:00:07.421000,0 days 03:05:47.903000,392.58777777777783
2024-11-03 17:43:50.809,7715.0,100.0,3,54.0,False,1,car,0 days 00:00:07.581000,0 days 03:05:48.063000,397.0322222222223
2024-11-03 17:43:51.048,8439.0,110.0,3,60.0,False,1,car,0 days 00:00:07.820000,0 days 03:05:48.302000,404.33500000000004
2024-11-03 17:43:51.248,9014.0,117.0,3,62.0,False,1,car,0 days 00:00:08.020000,0 days 03:05:48.502000,410.83500000000004
2024-11-03 17:43:51.528,8818.0,122.0,3,47.0,False,1,car,0 days 00:00:08.300000,0 days 03:05:48.782000,420.323888888889
2024-11-03 17:43:51.808,7853.0,125.0,4,43.0,False,1,car,0 days 00:00:08.580000,0 days 03:05:49.062000,430.04611111111114
2024-11-03 17:43:52.048,7910.0,127.0,4,36.0,False,1,car,0 days 00:00:08.820000,0 days 03:05:49.302000,438.51277777777784
2024-11-03 17:43:52.208,7833.0,127.0,4,16.0,False,1,car,0 days 00:00:08.980000,0 days 03:05:49.462000,444.1572222222223
2024-11-03 17:43:52.488,7701.0,126.0,4,15.0,False,1,car,0 days 00:00:09.260000,0 days 03:05:49.742000,453.95722222222224
2024-11-03 17:43:52.769,7738.0,124.0,4,22.0,False,1,car,0 days 00:00:09.541000,0 days 03:05:50.023000,463.6361111111112
2024-11-03 17:43:53.129,8079.0,129.0,4,57.0,False,1,car,0 days 00:00:09.901000,0 days 03:05:50.383000,476.53611111111115
2024-11-03 17:43:53.569,9008.0,136.0,4,67.0,False,1,car,0 days 00:00:10.341000,0 days 03:05:50.823000,493.15833333333336
2024-11-03 17:43:53.849,9623.0,150.0,4,83.0,False,1,car,0 days 00:00:10.621000,0 days 03:05:51.103000,504.82500000000005
2024-11-03 17:43:54.089,10264.0,159.0,4,90.0,False,1,car,0 days 00:00:10.861000,0 days 03:05:51.343000,515.4250000000001
2024-11-03 17:43:54.409,10940.0,170.0,4,84.0,False,1,car,0 days 00:00:11.181000,0 days 03:05:51.663000,530.5361111111112
2024-11-03 17:43:54.649,10929.0,175.0,4,78.0,False,1,car,0 days 00:00:11.421000,0 days 03:05:51.903000,542.2027777777778
2024-11-03 17:43:54.889,9983.0,183.0,4,82.0,False,1,car,0 days 00:00:11.661000,0 days 03:05:52.143000,554.4027777777778
2024-11-03 17:43:55.089,10032.0,186.0,5,76.0,False,1,car,0 days 00:00:11.861000,0 days 03:05:52.343000,564.7361111111112
2024-11-03 17:43:55.289,10129.0,190.0,5,82.0,False,1,car,0 days 00:00:12.061000,0 days 03:05:52.543000,575.2916666666667
2024-11-03 17:43:55.609,10560.0,197.0,5,83.0,False,1,car,0 days 00:00:12.381000,0 days 03:05:52.863000,592.8027777777779
2024-11-03 17:43:55.889,10826.0,204.0,5,82.0,False,1,car,0 days 00:00:12.661000,0 days 03:05:53.143000,608.6694444444446
2024-11-03 17:43:56.089,11078.0,208.0,5,84.0,False,1,car,0 days 00:00:12.861000,0 days 03:05:53.343000,620.2250000000003
2024-11-03 17:43:56.289,11234.0,212.0,5,84.0,False,1,car,0 days 00:00:13.061000,0 days 03:05:53.543000,632.002777777778
2024-11-03 17:43:56.489,11495.0,214.0,5,87.0,False,1,car,0 days 00:00:13.261000,0 days 03:05:53.743000,643.8916666666668
2024-11-03 17:43:56.729,11215.0,220.0,5,87.0,False,1,car,0 days 00:00:13.501000,0 days 03:05:53.983000,658.5583333333334
2024-11-03 17:43:57.009,10544.0,224.0,6,100.0,False,1,car,0 days 00:00:13.781000,0 days 03:05:54.263000,675.9805555555557
2024-11-03 17:43:57.289,10655.0,231.0,6,100.0,False,1,car,0 days 00:00:14.061000,0 days 03:05:54.543000,693.9472222222223
2024-11-03 17:43:57.449,10928.0,237.0,6,100.0,False,1,car,0 days 00:00:14.221000,0 days 03:05:54.703000,704.4805555555556
2024-11-03 17:43:57.888,11235.0,244.0,6,100.0,False,1,car,0 days 00:00:14.660000,0 days 03:05:55.142000,734.235
2024-11-03 17:43:58.208,11460.0,251.0,6,100.0,False,1,car,0 days 00:00:14.980000,0 days 03:05:55.462000,756.5461111111111
2024-11-03 17:43:58.448,11639.0,256.0,6,100.0,False,1,car,0 days 00:00:15.220000,0 days 03:05:55.702000,773.6127777777779
2024-11-03 17:43:58.768,10485.0,260.0,6,100.0,False,1,car,0 days 00:00:15.540000,0 days 03:05:56.022000,796.7238888888888
2024-11-03 17:43:59.048,10565.0,265.0,7,100.0,False,1,car,0 days 00:00:15.820000,0 days 03:05:56.302000,817.335
2024-11-03 17:43:59.289,10664.0,268.0,7,100.0,False,1,car,0 days 00:00:16.061000,0 days 03:05:56.543000,835.2761111111112
2024-11-03 17:43:59.449,10776.0,272.0,7,100.0,False,1,car,0 days 00:00:16.221000,0 days 03:05:56.703000,847.365
2024-11-03 17:43:59.649,10860.0,273.0,7,100.0,False,1,car,0 days 00:00:16.421000,0 days 03:05:56.903000,862.5316666666666
2024-11-03 17:43:59.849,10980.0,276.0,7,100.0,False,1,car,0 days 00:00:16.621000,0 days 03:05:57.103000,877.8649999999999
2024-11-03 17:44:00.209,11162.0,280.0,7,100.0,False,1,car,0 days 00:00:16.981000,0 days 03:05:57.463000,905.8650000000001
